PARTICIPANT_ID,EXPERIMENT_STARTED,PC_NAME,TRIALS,EMS_NUMBER,AGE,VISION,DEBRIEFING,RANK,IS_THREATENING,SPATIAL_FREQUENCY,CONTRAST-NORMALIZATION,IMG_NAME,MASK_NAME,KEY_PRESSED,CORRECT_ANSWER,REACTION_TIME_IN_MILLIES,EST_DISPLAY_TIME
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,0,threatening,LSF,no-normalization,wesp 13_LSF_unnorm,/mask044.png,s,True,649.458,524.37
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,1,threatening,LSF,contrast-normalized,slang 12_LSF_norm,/mask031.png,s,True,528.37,499.167
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,2,threatening,LSF,no-normalization,Slang 1_LSF_unnorm,/mask043.png,s,True,494.336,500.065
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,3,non-threatening,NoFilter,contrast-normalized,salamander 9_FS_norm,/mask085.png,l,True,589.415,499.838
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,4,non-threatening,LSF,no-normalization,vlieg 18_LSF_unnorm,/mask049.png,s,False,657.475,500.034
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,5,non-threatening,LSF,contrast-normalized,salamander 1_LSF_norm,/mask061.png,l,True,361.243,499.72
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,6,non-threatening,HSF,contrast-normalized,salamander 19_HSF_norm,/mask075.png,l,True,462.307,499.726
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,7,non-threatening,HSF,contrast-normalized,salamander 13_HSF_norm,/mask071.png,l,True,440.298,499.945
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,8,threatening,HSF,no-normalization,slang 20_HSF_unnorm,/mask060.png,l,False,433.306,500.018
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,9,threatening,HSF,contrast-normalized,wesp 19_HSF_norm,/mask019.png,l,False,243.175,499.999
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,10,threatening,NoFilter,contrast-normalized,wesp 26_FS_norm,/mask006.png,l,False,268.171,500.085
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,11,non-threatening,LSF,contrast-normalized,vlieg 17_LSF_norm,/mask064.png,l,True,301.2,499.72
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,12,non-threatening,LSF,no-normalization,salamander 23_LSF_unnorm,/mask078.png,l,True,380.256,500.512
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,13,threatening,LSF,no-normalization,wesp 15_LSF_unnorm,/mask091.png,l,False,64.06,500.314
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,14,threatening,HSF,no-normalization,Slang 5_HSF_unnorm,/mask094.png,l,False,449.302,499.747
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,15,threatening,LSF,contrast-normalized,Slang 3_LSF_norm,/mask025.png,s,True,626.43,500.135
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,16,threatening,NoFilter,contrast-normalized,Slang 2_FS_norm,/mask073.png,s,True,612.437,500.604
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,17,non-threatening,HSF,no-normalization,salamander 5_HSF_unnorm,/mask028.png,s,False,855.616,499.883
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,18,non-threatening,HSF,no-normalization,vlieg 29_HSF_unnorm,/mask017.png,s,False,471.32,500.363
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,19,non-threatening,LSF,no-normalization,vlieg 13_LSF_unnorm,/mask003.png,l,True,312.208,499.187
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,20,threatening,HSF,contrast-normalized,Slang 25_HSF_norm,/mask001.png,l,False,391.289,500.718
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,21,non-threatening,NoFilter,contrast-normalized,salamander 25_FS_norm,/mask083.png,l,True,282.904,500.155
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,22,non-threatening,HSF,no-normalization,vlieg 30_HSF_unnorm,/mask069.png,l,True,282.2,499.834
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,23,threatening,LSF,contrast-normalized,Slang 7_LSF_norm,/mask020.png,s,True,371.261,500.284
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,24,non-threatening,NoFilter,contrast-normalized,vlieg 15_FS_norm,/mask097.png,l,True,398.268,499.881
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,25,non-threatening,HSF,no-normalization,salamander 18_HSF_unnorm,/mask009.png,l,True,384.982,499.257
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,26,threatening,LSF,no-normalization,slang 14_LSF_unnorm,/mask023.png,s,True,172.134,500.324
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,27,threatening,HSF,contrast-normalized,wesp 10_HSF_norm,/mask011.png,s,True,248.868,498.887
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,28,threatening,LSF,no-normalization,slang 11_LSF_unnorm,/mask054.png,l,False,353.244,500.055
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,29,non-threatening,LSF,no-normalization,vlieg 7_LSF_unnorm,/mask038.png,s,False,318.212,500.279
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,30,threatening,NoFilter,contrast-normalized,slang 21_FS_norm,/mask035.png,s,True,260.183,500.794
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,31,non-threatening,NoFilter,contrast-normalized,vlieg 24_FS_norm,/mask010.png,l,True,236.169,500.524
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,32,threatening,LSF,no-normalization,Slang 4_LSF_unnorm,/mask008.png,s,True,430.29,500.489
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,33,threatening,NoFilter,contrast-normalized,Slang 27_FS_norm,/mask063.png,s,True,65.757,500.482
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,34,non-threatening,NoFilter,contrast-normalized,salamander 14_FS_norm,/mask030.png,l,True,561.401,499.618
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,35,threatening,NoFilter,contrast-normalized,Slang 8_FS_norm,/mask088.png,s,True,446.32,500.691
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,36,threatening,LSF,contrast-normalized,wesp 20_LSF_norm,/mask084.png,l,False,199.128,499.707
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,37,threatening,LSF,contrast-normalized,slang 31_LSF_norm,/mask042.png,s,True,410.289,500.38
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,38,threatening,HSF,contrast-normalized,slang 16_HSF_norm,/mask007.png,l,False,435.307,500.545
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,39,non-threatening,LSF,no-normalization,salamander 22_LSF_unnorm,/mask056.png,s,False,373.263,500.47
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,40,non-threatening,LSF,contrast-normalized,salamander 20_LSF_norm,/mask079.png,l,True,265.192,499.899
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,41,non-threatening,LSF,no-normalization,vlieg 28_LSF_unnorm,/mask013.png,l,True,305.228,499.14
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,42,non-threatening,LSF,no-normalization,salamander 4_LSF_unnorm,/mask093.png,l,True,384.273,500.509
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,43,non-threatening,NoFilter,contrast-normalized,salamander 11_FS_norm,/mask046.png,l,True,467.316,500.485
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,44,threatening,HSF,contrast-normalized,slang 29_HSF_norm,/mask004.png,l,False,460.343,499.931
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,45,threatening,LSF,no-normalization,wesp 6_LSF_unnorm,/mask080.png,s,True,580.41,500.146
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,46,non-threatening,LSF,no-normalization,salamander 15_LSF_unnorm,/mask022.png,l,True,176.112,500.132
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,47,non-threatening,LSF,contrast-normalized,salamander 17_LSF_norm,/mask051.png,l,True,243.172,499.727
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,48,threatening,LSF,contrast-normalized,Slang 10_LSF_norm,/mask039.png,l,False,245.161,499.02
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,49,non-threatening,LSF,contrast-normalized,vlieg 25_LSF_norm,/mask098.png,l,True,174.127,499.649
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,50,threatening,HSF,no-normalization,wesp 23_HSF_unnorm,/mask033.png,l,False,314.218,499.084
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,51,threatening,HSF,no-normalization,wesp 24_HSF_unnorm,/mask032.png,l,False,673.475,500.036
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,52,non-threatening,LSF,no-normalization,vlieg 23_LSF_unnorm,/mask000.png,l,True,289.209,499.817
